timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_vel_x,linear_vel_y,angular_vel_z
34.957,0.031162709013158464,0.0007513517802597044,0.07499999964656745,4.042309538955291e-08,-7.407741321606664e-12,0.00014543671716089275,0.9999999894240797,0.0003333189458815908,-5.670900292334575e-06,0.00018262748031332813
34.977,0.031180070956195863,0.0007520954999420152,0.07499999898538953,-1.239532939361674e-07,6.741337570154263e-10,0.00014471786950138316,0.9999999895283616,0.0014045540985996165,2.9585108345615698e-05,0.00010072857813293051
34.997,0.03118971390717797,0.000752368360214504,0.07499999974676023,-9.6137441673331e-08,9.140724797975831e-11,0.00014497203674931235,0.9999999894915498,-1.011326569673851e-05,6.861388819846832e-07,-3.3136096988888875e-06
35.017,0.03121602275265996,0.00075270995901219,0.07499999757444394,-4.352523975661759e-08,4.345226481135939e-09,0.00014548379988132295,0.999999989417231,9.330549592384317e-05,6.741820231393633e-05,-0.00013270133387317345
35.037,0.031236258532122682,0.0007533571036954326,0.07499999965573041,-5.805492057399544e-08,-1.566246805850432e-11,0.00014527894188567258,0.9999999894470128,0.0015493149125522328,-4.812847755317758e-05,0.0005010302603696058
35.057,0.031245326689962646,0.000753751654164166,0.07499447628550558,6.937431032440952e-09,-1.3808770017525618e-05,0.00014517207233161864,0.9999999893671936,0.0026438723911473704,4.417055965451839e-05,-5.715880430968408e-05
35.078,0.03126916420461098,0.0007541097549963419,0.0749999998202452,-7.021834876180087e-08,9.279660187490441e-11,0.00014555629363844147,0.9999999894066803,7.28056389179077e-05,5.906365307601324e-05,-0.00019364478293211826
35.097,0.03129208846730018,0.0007545326860864758,0.07499999964837345,2.3628527462122903e-08,-8.562524140664356e-12,0.00014604319715382527,0.9999999893356919,0.001353878622470243,-7.853979839631557e-05,0.0007843444273881143
35.117,0.031301321846232,0.0007550879305660955,0.0749994606676156,-1.0566520385683964e-07,-1.3477344325897295e-06,0.0001454619222829896,0.9999999894195007,0.0033166934813020407,-7.555842338527208e-06,-0.00026165518800549953
35.137,0.031322191171472044,0.0007554187985064873,0.0749999997334923,-1.0153295062411995e-07,-6.008908868629147e-12,0.00014568587107975105,0.9999999893878083,1.8479024297965817e-05,9.93304718992614e-06,-7.292827168255313e-05
